User_ID,Age,Education_Level,Stream,Personality_Type,Preferred_Work_Style,Interest_Area,Logical_Score,Creative_Score,Communication_Score,Tech_Score,Math_Score,Biology_Score,Leadership_Score,Problem_Solving_Score,Risk_Taking_Level,Stress_Tolerance,Learning_Speed,Work_Preference,Recommended_Career,Why_Recommended,Steps_To_Achieve,Approx_Salary_India_2026,Top_Colleges_India,Demand_Level
11,23,Undergraduate,Engineering,Organizer,Hybrid,Law,72,58,73,87,65,49,53,74,30,61,57,Office,Business Analyst,Logical reasoning and communication skills align with business analysis.,1. BBA/B.Tech 2. MBA or BA certifications 3. SQL & Excel skills 4. Internships in consulting 5. IT/consulting firms,7-18 LPA,"IIMs, XLRI, Symbiosis, NMIMS, SP Jain",High
12,26,Undergraduate,Science,Researcher,Hybrid,Finance,54,57,20,54,71,94,46,72,37,68,45,Field,Pharmacist,Strong biology knowledge and attention to detail are key for pharmacy.,1. B.Pharm (4 yrs) 2. GPAT for M.Pharm 3. Drug store license 4. Internship in hospital 5. Hospital pharmacy/retail/pharma companies,4-12 LPA,"ICT Mumbai, Jamia Hamdard, JSS, Manipal, Amrita",Medium
13,34,Postgraduate,Science,Researcher,Team,Media,18,67,77,46,54,66,29,76,51,88,85,Office,Psychologist,"Empathy, communication, and analytical skills suit psychology.",1. BA/BSc Psychology 2. MA/MSc Psychology 3. MPhil Clinical Psych 4. RCI registration 5. Hospitals/NGOs/private practice,5-14 LPA,"NIMHANS, TISS, JNU, Christ University, Amity",Medium
14,20,Diploma,Arts,Researcher,Independent,Education,70,68,78,40,74,95,13,82,79,54,83,Hybrid,Journalist,Strong communication and curiosity drive journalism success.,1. BA Mass Comm/Journalism 2. Internship at media house 3. Build portfolio 4. PG diploma optional 5. Print/TV/digital media,4-12 LPA,"IIMC, ACJ, Symbiosis, Jamia, Xavier's Mumbai",Medium
15,18,Undergraduate,Arts,Leader,Hybrid,Law,79,52,92,79,69,81,73,78,61,73,74,Office,Lawyer,Strong communication and logical reasoning are essential for law.,1. Clear CLAT/AILET 2. BA LLB (5 yrs) 3. Enroll at Bar Council 4. Internships 5. Law firms or judiciary,6-20 LPA,"NLSIU, NALSAR, NLU Delhi, NUJS, Symbiosis Law",Medium
16,17,Diploma,Computer Science,Innovator,Hybrid,Business,35,83,45,72,72,82,78,77,45,65,67,Hybrid,Game Developer,Blend of creativity and technical skills is ideal for game development.,1. Learn Unity/Unreal Engine 2. C++/C# programming 3. B.Tech CS or B.Des 4. Build game portfolio 5. Gaming studios,6-16 LPA,"MAAC, Arena Animation, MIT-WPU, Amity, Whistling Woods",Medium
17,21,Undergraduate,Engineering,Analytical,Independent,Technology,83,60,60,85,84,56,41,80,54,59,46,Remote,Data Scientist,High math and analytical skills suit data science roles.,1. Learn Python/R & statistics 2. ML/AI courses 3. Kaggle projects 4. B.Tech/M.Tech/MCA 5. Join analytics firms,10-24 LPA,"IITs, IISc, IIIT-H, Manipal, Amity",High
18,19,Diploma,Engineering,Analytical,Team,Media,78,36,78,78,43,57,59,88,61,72,54,Field,Network Engineer,Technical aptitude and problem-solving ability suit network engineering.,1. B.Tech CS/IT or BCA 2. CCNA/CCNP certifications 3. Networking fundamentals 4. Internship at ISPs/IT firms 5. Telecom companies,5-14 LPA,"NITs, VIT, Manipal, SRM, Amity",Medium
19,27,Undergraduate,Science,Analytical,Hybrid,Technology,75,47,30,76,81,74,26,73,38,65,82,Office,Mechanical Engineer,Strong math and logical skills suit mechanical engineering roles.,1. B.Tech Mechanical 2. CAD/CAM skills 3. GATE for PSUs/M.Tech 4. Internships in manufacturing 5. BHEL/TATA/Maruti etc.,5-15 LPA,"IITs, NITs, VIT, Manipal, PEC",Medium
20,28,Postgraduate,Arts,Helper,Team,Media,69,53,77,19,83,82,80,66,44,74,85,Office,HR Manager,Strong interpersonal and leadership skills are essential for HR roles.,1. BBA/BA 2. MBA HR 3. SHRM/XLRI certifications 4. HR internships 5. Corporate HR departments,6-16 LPA,"XLRI, TISS, IIMs, Symbiosis, Amity",Medium
21,19,Diploma,Engineering,Analytical,Independent,Business,81,30,49,73,73,31,73,76,41,74,72,Office,Network Engineer,Technical aptitude and problem-solving ability suit network engineering.,1. B.Tech CS/IT or BCA 2. CCNA/CCNP certifications 3. Networking fundamentals 4. Internship at ISPs/IT firms 5. Telecom companies,5-14 LPA,"NITs, VIT, Manipal, SRM, Amity",Medium
22,23,Undergraduate,Arts,Creative,Hybrid,Healthcare,70,84,67,61,59,54,39,68,40,56,56,Remote,UI/UX Designer,High creativity and user empathy are key for UI/UX design.,1. Learn Figma/Adobe XD 2. Study design principles 3. Build portfolio 4. B.Des/BCA 5. Join product companies,6-16 LPA,"NID, NIFT, Srishti, MIT-ID, Pearl Academy",High
23,26,Undergraduate,Commerce,Analytical,Hybrid,Education,84,56,32,37,80,51,42,81,56,74,67,Office,Chartered Accountant,Exceptional math and logical skills are core to chartered accountancy.,1. Enroll in ICAI CA Foundation 2. CA Intermediate 3. Articleship (3 yrs) 4. CA Final 5. Practice or join Big 4,7-22 LPA,"ICAI, SRCC, Christ University, Loyola, St. Xaviers",High
24,26,Postgraduate,Commerce,Analytical,Hybrid,Finance,71,23,56,72,88,42,64,83,51,62,77,Remote,Data Analyst,Strong math and logical aptitude drive data analysis proficiency.,"1. Learn SQL, Excel, Python 2. Tableau/Power BI 3. BCA/B.Tech/B.Sc Statistics 4. Data analytics certifications 5. IT/consulting/banking",6-16 LPA,"IITs, ISI, CMI, BITS, Symbiosis",High
25,35,Postgraduate,Commerce,Organizer,Independent,Design,82,49,81,46,39,41,69,66,38,76,55,Office,Teacher,Strong communication and patience make an excellent educator.,1. B.Ed after graduation 2. CTET/TET exams 3. Master's in subject 4. NET for college teaching 5. Government/private schools,4-12 LPA,"NCERT, DU, BHU, Jamia, Amity",High
26,24,Undergraduate,Engineering,Analytical,Independent,Education,74,23,78,78,54,15,27,65,51,66,60,Field,Network Engineer,Technical aptitude and problem-solving ability suit network engineering.,1. B.Tech CS/IT or BCA 2. CCNA/CCNP certifications 3. Networking fundamentals 4. Internship at ISPs/IT firms 5. Telecom companies,5-14 LPA,"NITs, VIT, Manipal, SRM, Amity",Medium
27,34,Postgraduate,Computer Science,Organizer,Independent,Design,75,73,78,78,53,69,23,78,41,75,60,Hybrid,DevOps Engineer,Tech skills combined with organization aptitude fit DevOps workflows.,1. Learn Linux & scripting 2. Docker/Kubernetes 3. CI/CD pipelines 4. B.Tech IT/CS 5. Work in product companies,8-18 LPA,"NITs, VIT, Pune University, KIIT, SRM",High
28,18,Undergraduate,Commerce,Leader,Independent,Education,45,67,81,5,38,62,79,67,62,77,72,Office,HR Manager,Strong interpersonal and leadership skills are essential for HR roles.,1. BBA/BA 2. MBA HR 3. SHRM/XLRI certifications 4. HR internships 5. Corporate HR departments,6-16 LPA,"XLRI, TISS, IIMs, Symbiosis, Amity",Medium
29,18,Undergraduate,Computer Science,Researcher,Independent,Law,78,52,61,83,92,51,55,75,43,61,73,Field,Robotics Engineer,Strong technical and mathematical aptitude suits robotics engineering.,1. B.Tech Mechanical/Electronics/CS 2. Robotics specialization 3. ROS/Python/MATLAB 4. Research projects 5. R&D labs/manufacturing,8-20 LPA,"IITs, NIT Trichy, BITS, IIST, IISc",High
30,20,Diploma,Computer Science,Creative,Team,Law,57,88,70,69,65,69,42,61,53,77,77,Remote,Graphic Designer,Exceptional creative aptitude is the foundation for graphic design.,1. Learn Adobe Suite (PS/AI/ID) 2. B.Des or Diploma 3. Build design portfolio 4. Freelance projects 5. Design agencies/in-house teams,4-12 LPA,"NID, NIFT, Srishti, Pearl Academy, MIT-ID",Medium
31,19,Undergraduate,Engineering,Analytical,Hybrid,Law,94,47,25,95,82,63,33,82,48,63,79,Hybrid,Software Developer,Strong tech and logical skills align with software development.,1. Learn programming (Python/Java/C++) 2. Build projects 3. Internships 4. B.Tech/BCA degree 5. Apply to tech firms,8-20 LPA,"IITs, NITs, BITS Pilani, VIT, DTU",High
32,19,Undergraduate,Commerce,Analytical,Hybrid,Education,74,72,81,83,60,68,44,77,42,68,71,Office,Business Analyst,Logical reasoning and communication skills align with business analysis.,1. BBA/B.Tech 2. MBA or BA certifications 3. SQL & Excel skills 4. Internships in consulting 5. IT/consulting firms,7-18 LPA,"IIMs, XLRI, Symbiosis, NMIMS, SP Jain",High
33,18,High School,Commerce,Organizer,Hybrid,Healthcare,83,50,62,38,88,77,44,82,56,72,71,Hybrid,Chartered Accountant,Exceptional math and logical skills are core to chartered accountancy.,1. Enroll in ICAI CA Foundation 2. CA Intermediate 3. Articleship (3 yrs) 4. CA Final 5. Practice or join Big 4,7-22 LPA,"ICAI, SRCC, Christ University, Loyola, St. Xaviers",High
34,23,Undergraduate,Science,Organizer,Hybrid,Finance,54,70,90,49,41,21,77,69,41,73,64,Field,Teacher,Strong communication and patience make an excellent educator.,1. B.Ed after graduation 2. CTET/TET exams 3. Master's in subject 4. NET for college teaching 5. Government/private schools,4-12 LPA,"NCERT, DU, BHU, Jamia, Amity",High
35,23,Undergraduate,Commerce,Helper,Hybrid,Law,41,53,86,55,45,24,76,69,32,76,76,Office,HR Manager,Strong interpersonal and leadership skills are essential for HR roles.,1. BBA/BA 2. MBA HR 3. SHRM/XLRI certifications 4. HR internships 5. Corporate HR departments,6-16 LPA,"XLRI, TISS, IIMs, Symbiosis, Amity",Medium
36,24,Diploma,Commerce,Leader,Hybrid,Finance,32,79,77,74,26,47,83,54,93,62,63,Hybrid,Entrepreneur,High leadership and risk-taking aptitude are ideal for entrepreneurship.,1. Identify market gap 2. Build MVP 3. Seek funding (angel/VC) 4. MBA helpful 5. Join startup ecosystem,Variable 5-25 LPA,"IITs, IIMs, ISB, BITS, NID",High
37,23,Diploma,Commerce,Creative,Team,Business,58,73,91,44,67,75,30,66,81,70,49,Field,Journalist,Strong communication and curiosity drive journalism success.,1. BA Mass Comm/Journalism 2. Internship at media house 3. Build portfolio 4. PG diploma optional 5. Print/TV/digital media,4-12 LPA,"IIMC, ACJ, Symbiosis, Jamia, Xavier's Mumbai",Medium
38,34,Postgraduate,Engineering,Innovator,Team,Healthcare,77,67,37,86,77,49,59,79,48,57,57,Remote,Software Developer,Strong tech and logical skills align with software development.,1. Learn programming (Python/Java/C++) 2. Build projects 3. Internships 4. B.Tech/BCA degree 5. Apply to tech firms,8-20 LPA,"IITs, NITs, BITS Pilani, VIT, DTU",High
39,31,Postgraduate,Arts,Leader,Independent,Finance,78,56,89,30,37,63,65,92,55,59,62,Office,Lawyer,Strong communication and logical reasoning are essential for law.,1. Clear CLAT/AILET 2. BA LLB (5 yrs) 3. Enroll at Bar Council 4. Internships 5. Law firms or judiciary,6-20 LPA,"NLSIU, NALSAR, NLU Delhi, NUJS, Symbiosis Law",Medium
40,31,Postgraduate,Science,Researcher,Independent,Healthcare,79,68,43,85,88,52,36,77,60,64,78,Field,Robotics Engineer,Strong technical and mathematical aptitude suits robotics engineering.,1. B.Tech Mechanical/Electronics/CS 2. Robotics specialization 3. ROS/Python/MATLAB 4. Research projects 5. R&D labs/manufacturing,8-20 LPA,"IITs, NIT Trichy, BITS, IIST, IISc",High
41,23,Undergraduate,Commerce,Researcher,Team,Healthcare,69,81,83,47,30,51,60,67,81,57,62,Hybrid,Journalist,Strong communication and curiosity drive journalism success.,1. BA Mass Comm/Journalism 2. Internship at media house 3. Build portfolio 4. PG diploma optional 5. Print/TV/digital media,4-12 LPA,"IIMC, ACJ, Symbiosis, Jamia, Xavier's Mumbai",Medium
42,22,Postgraduate,Computer Science,Analytical,Team,Law,83,56,87,89,68,32,59,74,68,71,60,Remote,Software Developer,Strong tech and logical skills align with software development.,1. Learn programming (Python/Java/C++) 2. Build projects 3. Internships 4. B.Tech/BCA degree 5. Apply to tech firms,8-20 LPA,"IITs, NITs, BITS Pilani, VIT, DTU",High
43,27,Undergraduate,Arts,Creative,Hybrid,Finance,39,68,76,53,28,41,79,44,69,53,83,Hybrid,Marketing Manager,Creative leadership and communication drive marketing management.,1. BBA/BA 2. MBA Marketing 3. Digital marketing skills 4. Brand management experience 5. FMCG/e-commerce/media,8-20 LPA,"MICA, IIM-A, XLRI, NMIMS, Amity",High
44,23,Postgraduate,Engineering,Innovator,Hybrid,Finance,70,82,67,88,63,58,53,82,61,61,49,Hybrid,Cloud Engineer,Tech aptitude and problem-solving suit cloud infrastructure roles.,1. AWS/Azure/GCP certifications 2. Learn DevOps tools 3. B.Tech CS/IT 4. Cloud internships 5. Join cloud teams,8-20 LPA,"NITs, VIT, BITS, Thapar, Manipal",High
45,22,Diploma,Commerce,Creative,Team,Education,37,88,82,46,45,39,63,61,74,67,77,Remote,Content Creator,Creativity and communication skills fuel successful content creation.,1. Choose a niche 2. Learn video editing/writing 3. Build social media presence 4. Monetize via brand deals 5. Scale with team,4-15 LPA,"IIMC, Whistling Woods, SRFTI, Online platforms",High
46,32,Postgraduate,Computer Science,Innovator,Hybrid,Healthcare,71,26,9,83,76,80,51,92,36,42,64,Hybrid,Software Developer,Strong tech and logical skills align with software development.,1. Learn programming (Python/Java/C++) 2. Build projects 3. Internships 4. B.Tech/BCA degree 5. Apply to tech firms,8-20 LPA,"IITs, NITs, BITS Pilani, VIT, DTU",High
47,27,Postgraduate,Arts,Helper,Independent,Design,60,9,83,70,16,39,74,62,63,82,67,Office,Teacher,Strong communication and patience make an excellent educator.,1. B.Ed after graduation 2. CTET/TET exams 3. Master's in subject 4. NET for college teaching 5. Government/private schools,4-12 LPA,"NCERT, DU, BHU, Jamia, Amity",High
48,27,Postgraduate,Science,Researcher,Hybrid,Technology,48,37,79,82,65,96,21,77,55,92,71,Field,Doctor,High biology aptitude and stress tolerance suit the medical profession.,1. Score high in NEET 2. MBBS (5.5 yrs) 3. MD/MS specialization 4. Residency 5. Government/private hospitals,8-25 LPA,"AIIMS, CMC Vellore, JIPMER, MAMC, KMC",High
49,24,Undergraduate,Engineering,Organizer,Independent,Healthcare,79,45,66,74,46,48,74,77,67,68,66,Hybrid,DevOps Engineer,Tech skills combined with organization aptitude fit DevOps workflows.,1. Learn Linux & scripting 2. Docker/Kubernetes 3. CI/CD pipelines 4. B.Tech IT/CS 5. Work in product companies,8-18 LPA,"NITs, VIT, Pune University, KIIT, SRM",High
50,24,Undergraduate,Arts,Creative,Independent,Media,87,89,73,62,24,30,52,69,39,64,64,Hybrid,UI/UX Designer,High creativity and user empathy are key for UI/UX design.,1. Learn Figma/Adobe XD 2. Study design principles 3. Build portfolio 4. B.Des/BCA 5. Join product companies,6-16 LPA,"NID, NIFT, Srishti, MIT-ID, Pearl Academy",High
51,24,Postgraduate,Arts,Analytical,Hybrid,Finance,94,10,91,48,48,56,78,83,60,60,54,Field,Lawyer,Strong communication and logical reasoning are essential for law.,1. Clear CLAT/AILET 2. BA LLB (5 yrs) 3. Enroll at Bar Council 4. Internships 5. Law firms or judiciary,6-20 LPA,"NLSIU, NALSAR, NLU Delhi, NUJS, Symbiosis Law",Medium
52,34,Postgraduate,Arts,Leader,Hybrid,Law,5,65,88,14,25,72,75,76,50,76,63,Office,HR Manager,Strong interpersonal and leadership skills are essential for HR roles.,1. BBA/BA 2. MBA HR 3. SHRM/XLRI certifications 4. HR internships 5. Corporate HR departments,6-16 LPA,"XLRI, TISS, IIMs, Symbiosis, Amity",Medium
53,18,Undergraduate,Commerce,Organizer,Team,Healthcare,40,58,82,81,62,31,62,73,58,80,81,Office,Teacher,Strong communication and patience make an excellent educator.,1. B.Ed after graduation 2. CTET/TET exams 3. Master's in subject 4. NET for college teaching 5. Government/private schools,4-12 LPA,"NCERT, DU, BHU, Jamia, Amity",High
54,29,Postgraduate,Arts,Leader,Team,Finance,6,32,84,45,25,29,77,66,53,82,69,Office,HR Manager,Strong interpersonal and leadership skills are essential for HR roles.,1. BBA/BA 2. MBA HR 3. SHRM/XLRI certifications 4. HR internships 5. Corporate HR departments,6-16 LPA,"XLRI, TISS, IIMs, Symbiosis, Amity",Medium
55,18,Diploma,Commerce,Leader,Independent,Healthcare,49,65,89,50,68,45,85,72,88,61,57,Hybrid,Entrepreneur,High leadership and risk-taking aptitude are ideal for entrepreneurship.,1. Identify market gap 2. Build MVP 3. Seek funding (angel/VC) 4. MBA helpful 5. Join startup ecosystem,Variable 5-25 LPA,"IITs, IIMs, ISB, BITS, NID",High
56,34,Postgraduate,Engineering,Organizer,Independent,Healthcare,75,53,69,32,88,29,66,83,64,68,55,Hybrid,Financial Analyst,Strong math and analytical skills are vital for financial analysis.,1. B.Com/BBA Finance 2. CFA/CFP certifications 3. MBA Finance 4. Excel/Bloomberg proficiency 5. Banks/investment firms,7-20 LPA,"SRCC, NISM, IIMs, SP Jain, NMIMS",High
57,17,Diploma,Commerce,Innovator,Hybrid,Technology,58,67,74,68,83,54,83,59,75,62,54,Field,Entrepreneur,High leadership and risk-taking aptitude are ideal for entrepreneurship.,1. Identify market gap 2. Build MVP 3. Seek funding (angel/VC) 4. MBA helpful 5. Join startup ecosystem,Variable 5-25 LPA,"IITs, IIMs, ISB, BITS, NID",High
58,32,Postgraduate,Computer Science,Analytical,Team,Design,81,39,46,69,80,67,34,73,55,80,71,Hybrid,Data Analyst,Strong math and logical aptitude drive data analysis proficiency.,"1. Learn SQL, Excel, Python 2. Tableau/Power BI 3. BCA/B.Tech/B.Sc Statistics 4. Data analytics certifications 5. IT/consulting/banking",6-16 LPA,"IITs, ISI, CMI, BITS, Symbiosis",High
59,25,Undergraduate,Computer Science,Leader,Independent,Business,67,69,84,15,53,85,63,63,61,77,78,Remote,Digital Marketer,Creative communication skills and analytical thinking drive digital marketing.,1. Learn SEO/SEM & social media 2. Google/Meta certifications 3. BBA/MBA Marketing 4. Build campaigns 5. Marketing agencies,4-14 LPA,"MICA, IIMK, Symbiosis, Amity, NMIMS",High
60,18,Diploma,Arts,Leader,Independent,Media,66,77,81,95,37,66,60,36,72,58,73,Remote,Digital Marketer,Creative communication skills and analytical thinking drive digital marketing.,1. Learn SEO/SEM & social media 2. Google/Meta certifications 3. BBA/MBA Marketing 4. Build campaigns 5. Marketing agencies,4-14 LPA,"MICA, IIMK, Symbiosis, Amity, NMIMS",High
61,18,Undergraduate,Engineering,Researcher,Team,Law,75,39,55,82,63,59,50,76,75,78,75,Office,Cybersecurity Analyst,Strong tech skills and analytical thinking are core for cybersecurity.,1. Learn networking & OS 2. CEH/CISSP certifications 3. Ethical hacking courses 4. B.Tech CS 5. Security firms,7-18 LPA,"IITs, NITs, CDAC, Symbiosis, SRM",High
62,33,Postgraduate,Commerce,Organizer,Independent,Education,84,36,45,61,81,73,55,89,69,62,62,Office,Financial Analyst,Strong math and analytical skills are vital for financial analysis.,1. B.Com/BBA Finance 2. CFA/CFP certifications 3. MBA Finance 4. Excel/Bloomberg proficiency 5. Banks/investment firms,7-20 LPA,"SRCC, NISM, IIMs, SP Jain, NMIMS",High
63,20,Diploma,Arts,Innovator,Team,Technology,37,81,12,81,62,38,49,73,48,63,64,Remote,Game Developer,Blend of creativity and technical skills is ideal for game development.,1. Learn Unity/Unreal Engine 2. C++/C# programming 3. B.Tech CS or B.Des 4. Build game portfolio 5. Gaming studios,6-16 LPA,"MAAC, Arena Animation, MIT-WPU, Amity, Whistling Woods",Medium
64,30,Postgraduate,Computer Science,Analytical,Team,Healthcare,81,30,27,85,81,68,18,76,59,50,62,Remote,Software Developer,Strong tech and logical skills align with software development.,1. Learn programming (Python/Java/C++) 2. Build projects 3. Internships 4. B.Tech/BCA degree 5. Apply to tech firms,8-20 LPA,"IITs, NITs, BITS Pilani, VIT, DTU",High
65,20,Undergraduate,Computer Science,Analytical,Team,Media,75,85,50,70,46,69,42,72,71,51,69,Remote,Cybersecurity Analyst,Strong tech skills and analytical thinking are core for cybersecurity.,1. Learn networking & OS 2. CEH/CISSP certifications 3. Ethical hacking courses 4. B.Tech CS 5. Security firms,7-18 LPA,"IITs, NITs, CDAC, Symbiosis, SRM",High
66,21,Undergraduate,Arts,Helper,Independent,Law,74,28,87,51,60,85,73,69,38,80,66,Office,HR Manager,Strong interpersonal and leadership skills are essential for HR roles.,1. BBA/BA 2. MBA HR 3. SHRM/XLRI certifications 4. HR internships 5. Corporate HR departments,6-16 LPA,"XLRI, TISS, IIMs, Symbiosis, Amity",Medium
67,20,Undergraduate,Commerce,Organizer,Hybrid,Media,82,46,70,33,67,44,49,82,52,71,61,Office,Business Analyst,Logical reasoning and communication skills align with business analysis.,1. BBA/B.Tech 2. MBA or BA certifications 3. SQL & Excel skills 4. Internships in consulting 5. IT/consulting firms,7-18 LPA,"IIMs, XLRI, Symbiosis, NMIMS, SP Jain",High
68,18,Undergraduate,Engineering,Analytical,Team,Technology,77,57,23,70,61,64,35,68,62,76,66,Field,Network Engineer,Technical aptitude and problem-solving ability suit network engineering.,1. B.Tech CS/IT or BCA 2. CCNA/CCNP certifications 3. Networking fundamentals 4. Internship at ISPs/IT firms 5. Telecom companies,5-14 LPA,"NITs, VIT, Manipal, SRM, Amity",Medium
69,23,Diploma,Engineering,Creative,Hybrid,Finance,82,84,48,75,75,56,5,66,53,51,54,Remote,Game Developer,Blend of creativity and technical skills is ideal for game development.,1. Learn Unity/Unreal Engine 2. C++/C# programming 3. B.Tech CS or B.Des 4. Build game portfolio 5. Gaming studios,6-16 LPA,"MAAC, Arena Animation, MIT-WPU, Amity, Whistling Woods",Medium
70,23,Postgraduate,Engineering,Organizer,Team,Finance,82,38,78,54,80,35,48,73,42,49,67,Hybrid,Business Analyst,Logical reasoning and communication skills align with business analysis.,1. BBA/B.Tech 2. MBA or BA certifications 3. SQL & Excel skills 4. Internships in consulting 5. IT/consulting firms,7-18 LPA,"IIMs, XLRI, Symbiosis, NMIMS, SP Jain",High
71,22,Undergraduate,Arts,Researcher,Hybrid,Design,29,10,88,47,42,74,38,80,50,84,81,Hybrid,Psychologist,"Empathy, communication, and analytical skills suit psychology.",1. BA/BSc Psychology 2. MA/MSc Psychology 3. MPhil Clinical Psych 4. RCI registration 5. Hospitals/NGOs/private practice,5-14 LPA,"NIMHANS, TISS, JNU, Christ University, Amity",Medium
72,19,Undergraduate,Engineering,Innovator,Hybrid,Technology,81,7,41,90,85,26,13,82,58,72,76,Remote,AI Engineer,Exceptional tech and math scores indicate AI engineering aptitude.,1. Master ML/DL frameworks 2. Research publications 3. M.Tech/MS AI 4. Contribute to open-source 5. Join AI labs,15-25 LPA,"IIT Bombay, IIT Delhi, IISc, IIIT-H, CMI",High
73,26,Undergraduate,Science,Helper,Independent,Law,37,48,77,23,56,90,83,86,47,82,75,Office,Doctor,High biology aptitude and stress tolerance suit the medical profession.,1. Score high in NEET 2. MBBS (5.5 yrs) 3. MD/MS specialization 4. Residency 5. Government/private hospitals,8-25 LPA,"AIIMS, CMC Vellore, JIPMER, MAMC, KMC",High
74,18,Undergraduate,Commerce,Analytical,Team,Design,90,50,75,36,75,21,59,75,31,50,65,Office,Business Analyst,Logical reasoning and communication skills align with business analysis.,1. BBA/B.Tech 2. MBA or BA certifications 3. SQL & Excel skills 4. Internships in consulting 5. IT/consulting firms,7-18 LPA,"IIMs, XLRI, Symbiosis, NMIMS, SP Jain",High
75,26,Undergraduate,Computer Science,Analytical,Team,Law,86,43,76,11,71,57,43,74,62,66,78,Hybrid,Business Analyst,Logical reasoning and communication skills align with business analysis.,1. BBA/B.Tech 2. MBA or BA certifications 3. SQL & Excel skills 4. Internships in consulting 5. IT/consulting firms,7-18 LPA,"IIMs, XLRI, Symbiosis, NMIMS, SP Jain",High
76,26,Undergraduate,Arts,Leader,Team,Business,50,71,93,45,95,51,88,69,48,85,73,Office,HR Manager,Strong interpersonal and leadership skills are essential for HR roles.,1. BBA/BA 2. MBA HR 3. SHRM/XLRI certifications 4. HR internships 5. Corporate HR departments,6-16 LPA,"XLRI, TISS, IIMs, Symbiosis, Amity",Medium
